Date,Order ID,Product,Product_ean,catégorie,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin
2023-03-29,ORD1048,Smartphone,3717109280814,Electronics,"Chennai, TN",4,26470,20450,105880,24077
2023-12-07,ORD1049,Keyboard,1253295962869,Accessories,"Bangalore, KA",4,43344,26432,173376,67646
2023-08-28,ORD1050,Keyboard,8986930951063,Accessories,"Mumbai, MH",3,43918,35127,131754,26370
2023-06-07,ORD1051,Keyboard,3493247696311,Accessories,"Chennai, TN",2,40298,30504,80596,19586
2023-05-11,ORD1052,Keyboard,7821652661012,Accessories,"Chennai, TN",1,43956,27272,43956,16683
2023-10-12,ORD1053,Mouse,7435613310951,Accessories,"Bangalore, KA",4,15683,12834,62732,11392
2023-09-14,ORD1054,Headphones,5243244508120,Accessories,"Mumbai, MH",4,1504,1248,6016,1021
2023-06-17,ORD1055,Laptop,7959857055777,Electronics,"Bangalore, KA",4,34982,21523,139928,53834
2023-06-14,ORD1056,Keyboard,3818143590516,Accessories,"Mumbai, MH",3,35299,23622,105897,35028
2023-08-05,ORD1057,Smartphone,4671191048941,Electronics,"Hyderabad, TS",4,29016,23257,116064,23032
2023-11-11,ORD1058,Keyboard,7118127066805,Accessories,"Delhi, DL",4,24960,19645,99840,21259
2023-09-23,ORD1059,Smartphone,9856058781145,Electronics,"Delhi, DL",4,34591,22350,138364,48962
2023-03-23,ORD1060,Smartphone,8625372046247,Electronics,"Delhi, DL",2,18312,11945,36624,12732
2023-11-24,ORD1061,Keyboard,1303131589354,Accessories,"Bangalore, KA",3,38797,26871,116391,35776
2023-02-18,ORD1062,Mouse,3552391744842,Accessories,"Hyderabad, TS",4,47196,34034,188784,52646
2023-03-11,ORD1063,Smartphone,3741407459003,Electronics,"Mumbai, MH",1,3105,2342,3105,762
2023-09-26,ORD1064,Smartphone,3038836307039,Electronics,"Chennai, TN",1,37395,25885,37395,11509
2023-10-15,ORD1065,Keyboard,2918965455420,Accessories,"Mumbai, MH",1,46740,33448,46740,13291
2023-06-06,ORD1066,Smartphone,4795379257217,Electronics,"Chennai, TN",3,23700,18648,71100,15153
2023-07-07,ORD1067,Smartphone,7285432069379,Electronics,"Mumbai, MH",3,35620,21698,106860,41764
2023-11-08,ORD1068,Keyboard,2700408879462,Accessories,"Hyderabad, TS",1,38678,25647,38678,13030
2023-02-26,ORD1069,Keyboard,9306721220845,Accessories,"Chennai, TN",4,21559,16780,86236,19115
2023-12-23,ORD1070,Laptop,5365774710524,Electronics,"Bangalore, KA",3,28509,23485,85527,15069
2023-11-12,ORD1071,Mouse,1236220103553,Accessories,"Mumbai, MH",1,28860,21007,28860,7852
2023-08-11,ORD1072,Mouse,5368386713997,Accessories,"Mumbai, MH",1,12003,8798,12003,3204
2023-10-04,ORD1073,Smartphone,8507678304941,Electronics,"Chennai, TN",4,22732,14248,90928,33934
2023-03-01,ORD1074,Mouse,4228435171886,Accessories,"Bangalore, KA",2,26826,19096,53652,15459
2023-09-19,ORD1075,Smartphone,8634805190735,Electronics,"Bangalore, KA",3,31354,22987,94062,25100
2023-10-05,ORD1076,Laptop,5597648097500,Electronics,"Hyderabad, TS",4,14843,9805,59372,20149
2023-01-19,ORD1077,Keyboard,7543264345526,Accessories,"Bangalore, KA",1,45472,30343,45472,15128
2023-09-13,ORD1078,Keyboard,1084813718840,Accessories,"Bangalore, KA",1,49529,34389,49529,15139
2023-08-23,ORD1079,Keyboard,5423855824042,Accessories,"Bangalore, KA",4,7190,4350,28760,11359
2023-10-22,ORD1080,Mouse,2523456332355,Accessories,"Delhi, DL",3,18640,12684,55920,17865
2023-04-04,ORD1081,Laptop,3635188621003,Electronics,"Hyderabad, TS",2,39413,25731,78826,27363
2023-04-18,ORD1082,Mouse,4002151203104,Accessories,"Mumbai, MH",2,43356,29563,86712,27585
2023-06-15,ORD1083,Mouse,3256553363373,Accessories,"Chennai, TN",1,45597,28723,45597,16873
2023-10-05,ORD1084,Laptop,1057712500625,Electronics,"Mumbai, MH",3,41821,34403,125463,22253
2023-09-12,ORD1085,Laptop,8282572770528,Electronics,"Hyderabad, TS",2,4330,3240,8660,2178
2023-04-11,ORD1086,Laptop,9015756254347,Electronics,"Chennai, TN",3,20087,15462,60261,13873
2023-05-18,ORD1087,Laptop,3772461518103,Electronics,"Hyderabad, TS",3,42430,33829,127290,25802
2023-10-21,ORD1088,Keyboard,5359777056418,Accessories,"Bangalore, KA",1,25504,18480,25504,7023
2023-09-07,ORD1089,Headphones,6886200574284,Accessories,"Chennai, TN",2,8114,5044,16228,6138
2023-04-12,ORD1090,Headphones,4890932895453,Accessories,"Bangalore, KA",4,14323,10517,57292,15223
2023-06-13,ORD1091,Laptop,9975837971635,Electronics,"Mumbai, MH",1,35121,26225,35121,8895
2023-10-06,ORD1092,Headphones,2155622580156,Accessories,"Mumbai, MH",2,11975,9416,23950,5116
2023-06-29,ORD1093,Headphones,1712146874428,Accessories,"Chennai, TN",2,12023,8511,24046,7023
2023-12-12,ORD1094,Laptop,5489722885807,Electronics,"Chennai, TN",2,22447,14184,44894,16525
2023-04-01,ORD1095,Headphones,3083646676197,Accessories,"Hyderabad, TS",2,25933,17399,51866,17066
2023-11-09,ORD1096,Mouse,1071575742033,Accessories,"Hyderabad, TS",2,24959,17240,49918,15436
2023-01-11,ORD1097,Smartphone,5017770898132,Electronics,"Bangalore, KA",3,1667,1269,5001,1192
2023-10-24,ORD1098,Smartphone,3554195919979,Electronics,"Chennai, TN",1,30703,22802,30703,7900
2023-10-17,ORD1099,Laptop,4637450251783,Electronics,"Mumbai, MH",3,10337,7122,31011,9643
2023-09-11,ORD1100,Keyboard,1913775454793,Accessories,"Hyderabad, TS",4,47427,40153,189708,29095
2023-03-10,ORD1101,Laptop,4738304173318,Electronics,"Hyderabad, TS",2,37487,28169,74974,18635
2023-03-12,ORD1102,Keyboard,5982760201408,Accessories,"Mumbai, MH",1,20129,13271,20129,6857
2023-05-17,ORD1103,Smartphone,3597119959263,Electronics,"Hyderabad, TS",2,41251,25800,82502,30901
2023-05-24,ORD1104,Laptop,8143533920249,Electronics,"Bangalore, KA",1,32921,21010,32921,11910
2023-01-06,ORD1105,Mouse,5937329916251,Accessories,"Chennai, TN",3,34307,22693,102921,34839
2023-07-27,ORD1106,Headphones,8604770369502,Accessories,"Mumbai, MH",1,28355,18152,28355,10202
2023-04-30,ORD1107,Keyboard,7458463894403,Accessories,"Chennai, TN",4,38732,25045,154928,54745
2023-06-07,ORD1108,Headphones,7309737030807,Accessories,"Hyderabad, TS",4,5835,3916,23340,7672
2023-12-31,ORD1109,Headphones,6907098730993,Accessories,"Hyderabad, TS",1,21159,13612,21159,7546
2023-12-01,ORD1110,Laptop,5104801669725,Electronics,"Mumbai, MH",1,39810,32811,39810,6998
2024-01-01,ORD1111,Headphones,9481184257509,Accessories,"Bangalore, KA",1,48605,30137,48605,18467
2023-08-19,ORD1112,Mouse,5789446272008,Accessories,"Delhi, DL",1,41080,30034,41080,11045
2023-06-03,ORD1113,Headphones,1063235119266,Accessories,"Mumbai, MH",4,39088,27463,156352,46499
2023-04-05,ORD1114,Laptop,4292657265157,Electronics,"Delhi, DL",2,14216,12020,28432,4390
2023-02-09,ORD1115,Mouse,1842244305068,Accessories,"Delhi, DL",1,36547,22951,36547,13595
2023-08-30,ORD1116,Smartphone,5646720302586,Electronics,"Bangalore, KA",1,32471,22712,32471,9758
2023-01-26,ORD1117,Headphones,4047376460973,Accessories,"Delhi, DL",4,18308,15422,73232,11543
2023-09-23,ORD1118,Laptop,1614577322048,Electronics,"Delhi, DL",4,28532,23292,114128,20956
2023-06-08,ORD1119,Smartphone,4384122613548,Electronics,"Bangalore, KA",3,35349,28430,106047,20756
2023-09-14,ORD1120,Smartphone,3781868832739,Electronics,"Delhi, DL",1,46445,30861,46445,15583
2023-05-15,ORD1121,Keyboard,7478536805508,Accessories,"Delhi, DL",3,6713,4314,20139,7195
2023-05-20,ORD1122,Mouse,7976571353078,Accessories,"Delhi, DL",4,5804,4452,23216,5405
2023-10-01,ORD1123,Headphones,1096562855271,Accessories,"Mumbai, MH",4,11136,9268,44544,7468
2023-04-25,ORD1124,Laptop,7861323023048,Electronics,"Mumbai, MH",2,1009,745,2018,526
2023-01-14,ORD1125,Keyboard,8269734347811,Accessories,"Mumbai, MH",1,20255,15047,20255,5207
2023-12-21,ORD1126,Mouse,9468186206457,Accessories,"Bangalore, KA",3,24793,16611,74379,24545
2023-12-01,ORD1127,Keyboard,2501141639000,Accessories,"Hyderabad, TS",4,30548,24205,122192,25370
2023-10-08,ORD1128,Mouse,2155451198616,Accessories,"Delhi, DL",4,38892,25153,155568,54952
2023-09-01,ORD1129,Mouse,5888306157898,Accessories,"Delhi, DL",3,2015,1372,6045,1928
2023-09-25,ORD1130,Headphones,8045553461386,Accessories,"Bangalore, KA",2,28712,20280,57424,16862
2023-10-25,ORD1131,Mouse,3230013561468,Accessories,"Delhi, DL",4,35961,26140,143844,39283
2023-01-03,ORD1132,Keyboard,6655996872492,Accessories,"Mumbai, MH",1,9415,6219,9415,3195
2023-09-18,ORD1133,Mouse,9499792361421,Accessories,"Hyderabad, TS",4,47318,29749,189272,70274
2023-04-04,ORD1134,Headphones,3920772651206,Accessories,"Chennai, TN",1,48280,36338,48280,11941
2023-02-24,ORD1135,Headphones,2893974981351,Accessories,"Delhi, DL",3,24833,16691,74499,24423
2023-07-25,ORD1136,Keyboard,3660719285826,Accessories,"Mumbai, MH",1,5158,3844,5158,1313
2023-07-21,ORD1137,Smartphone,8631990475983,Electronics,"Chennai, TN",3,21309,13607,63927,23103
2023-06-01,ORD1138,Smartphone,1555489440573,Electronics,"Hyderabad, TS",1,7970,5740,7970,2229
2023-09-23,ORD1139,Mouse,3209608782224,Accessories,"Chennai, TN",3,7938,5819,23814,6354
2023-05-08,ORD1140,Laptop,3975032456654,Electronics,"Mumbai, MH",1,22168,13588,22168,8579
2023-04-28,ORD1141,Mouse,6329179706735,Accessories,"Chennai, TN",2,47540,32524,95080,30030
2023-08-29,ORD1142,Keyboard,4338646393806,Accessories,"Bangalore, KA",1,21384,13548,21384,7835
2023-01-11,ORD1143,Keyboard,1712071848879,Accessories,"Chennai, TN",1,19017,11711,19017,7305
2023-01-16,ORD1144,Keyboard,6238951331690,Accessories,"Delhi, DL",2,11344,9613,22688,3460
2023-07-30,ORD1145,Keyboard,6824849793173,Accessories,"Delhi, DL",4,41034,27927,164136,52426
2023-06-28,ORD1146,Keyboard,8725563709850,Accessories,"Bangalore, KA",4,9702,7785,38808,7665
2023-09-10,ORD1147,Headphones,9293980550875,Accessories,"Mumbai, MH",1,1384,918,1384,465
2023-01-15,ORD1148,Smartphone,6168056456992,Electronics,"Delhi, DL",2,1404,1081,2808,644
2023-07-14,ORD1149,Keyboard,1569546173935,Accessories,"Hyderabad, TS",1,41943,33137,41943,8805
2023-05-19,ORD1150,Laptop,1703471150140,Electronics,"Delhi, DL",3,48926,36641,146778,36854
2023-02-09,ORD1151,Laptop,7279261273660,Electronics,"Delhi, DL",3,30189,21672,90567,25549
2023-11-04,ORD1152,Laptop,9272034640816,Electronics,"Mumbai, MH",1,13763,9674,13763,4088
2023-02-27,ORD1153,Laptop,6823085016985,Electronics,"Chennai, TN",4,19384,13321,77536,24251
2023-07-02,ORD1154,Headphones,8767527917812,Accessories,"Delhi, DL",4,33606,27973,134424,22531
2023-05-04,ORD1155,Laptop,1585326270902,Electronics,"Bangalore, KA",1,10860,8771,10860,2088
2023-07-24,ORD1156,Keyboard,3765931203914,Accessories,"Chennai, TN",1,39757,33445,39757,6311
2023-01-18,ORD1157,Mouse,3669572629553,Accessories,"Hyderabad, TS",3,16106,10164,48318,17825
2023-08-26,ORD1158,Laptop,4667535164497,Electronics,"Mumbai, MH",4,24574,19234,98296,21358
2023-11-15,ORD1159,Headphones,8573871792173,Accessories,"Hyderabad, TS",1,24524,20467,24524,4056
2023-08-20,ORD1160,Headphones,9560598272280,Accessories,"Chennai, TN",3,4636,2991,13908,4933
2023-04-19,ORD1161,Laptop,7087091057811,Electronics,"Chennai, TN",4,11916,7347,47664,18273
2023-05-26,ORD1162,Mouse,4008879391822,Accessories,"Chennai, TN",2,5809,4561,11618,2494
2023-02-19,ORD1163,Laptop,6375911969498,Electronics,"Hyderabad, TS",3,33201,24688,99603,25536
2023-08-13,ORD1164,Headphones,2863405144231,Accessories,"Chennai, TN",4,14456,11715,57824,10960
2023-01-18,ORD1165,Smartphone,3083709464510,Electronics,"Hyderabad, TS",4,49212,31246,196848,71860
2023-12-10,ORD1166,Keyboard,6938740670921,Accessories,"Chennai, TN",3,39765,31764,119295,24000
2023-09-22,ORD1167,Headphones,6239138810375,Accessories,"Bangalore, KA",2,35816,23294,71632,25042
2023-03-12,ORD1168,Laptop,1734408875883,Electronics,"Chennai, TN",3,46106,29549,138318,49668
2023-03-21,ORD1169,Keyboard,6845192166524,Accessories,"Hyderabad, TS",4,18100,11603,72400,25986
2023-01-14,ORD1170,Laptop,8757464619500,Electronics,"Delhi, DL",1,22949,18442,22949,4506
2023-03-04,ORD1171,Laptop,6099771543578,Electronics,"Chennai, TN",1,5544,4248,5544,1295
2023-08-10,ORD1172,Smartphone,3638851751508,Electronics,"Delhi, DL",3,38744,28312,116232,31293
2023-03-21,ORD1173,Keyboard,3352983069492,Accessories,"Bangalore, KA",4,46543,32101,186172,57767
2023-09-19,ORD1174,Keyboard,6735433229418,Accessories,"Mumbai, MH",1,43783,35871,43783,7911
2023-08-17,ORD1175,Smartphone,8167589730820,Electronics,"Bangalore, KA",4,27657,19307,110628,33397
2023-12-04,ORD1176,Headphones,7207675621103,Accessories,"Chennai, TN",3,37187,29903,111561,21849
2023-10-09,ORD1177,Laptop,3118370436062,Electronics,"Delhi, DL",1,48198,34210,48198,13987
2023-05-05,ORD1178,Mouse,7262018644611,Accessories,"Delhi, DL",4,8239,5719,32956,10076
2023-02-16,ORD1179,Laptop,7488270514329,Electronics,"Hyderabad, TS",1,15489,11085,15489,4403
2023-09-13,ORD1180,Laptop,5535857097295,Electronics,"Delhi, DL",3,44125,29799,132375,42976
2023-03-31,ORD1181,Headphones,3292282203551,Accessories,"Hyderabad, TS",4,29538,23243,118152,25177
2023-09-28,ORD1182,Laptop,4490751965039,Electronics,"Mumbai, MH",1,33049,23983,33049,9065
2023-09-08,ORD1183,Smartphone,6613635326009,Electronics,"Chennai, TN",3,38131,25092,114393,39116
2023-05-02,ORD1184,Smartphone,1651491566129,Electronics,"Hyderabad, TS",1,43944,36249,43944,7694
2023-04-21,ORD1185,Keyboard,1635194817127,Accessories,"Mumbai, MH",1,9427,6560,9427,2866
2023-06-20,ORD1186,Mouse,3111516707353,Accessories,"Delhi, DL",2,42348,31163,84696,22369
2023-10-30,ORD1187,Laptop,2406383491361,Electronics,"Delhi, DL",2,25285,20901,50570,8767
2023-06-22,ORD1188,Laptop,5327740030781,Electronics,"Mumbai, MH",3,38626,29203,115878,28267
2023-08-25,ORD1189,Headphones,9762676158070,Accessories,"Delhi, DL",2,43808,27565,87616,32485
2023-03-02,ORD1190,Smartphone,5612273630873,Electronics,"Mumbai, MH",3,23928,19978,71784,11847
2023-03-21,ORD1191,Mouse,4203291422905,Accessories,"Hyderabad, TS",2,20198,15288,40396,9819
2023-10-02,ORD1192,Keyboard,8810497718857,Accessories,"Hyderabad, TS",1,20758,14192,20758,6565
2023-10-16,ORD1193,Smartphone,1155495692387,Electronics,"Mumbai, MH",3,16254,10318,48762,17807
2023-11-23,ORD1194,Keyboard,3523283282762,Accessories,"Hyderabad, TS",3,45238,36122,135714,27345
2023-06-27,ORD1195,Headphones,9383172783622,Accessories,"Hyderabad, TS",1,2252,1700,2252,551
2023-04-04,ORD1196,Headphones,7450331553378,Accessories,"Hyderabad, TS",3,40764,29894,122292,32607
2023-08-30,ORD1197,Laptop,5951447669812,Electronics,"Bangalore, KA",3,13173,10847,39519,6976
2023-06-06,ORD1198,Mouse,3605327795231,Accessories,"Chennai, TN",2,38441,30643,76882,15595
2023-11-10,ORD1199,Keyboard,7363183850525,Accessories,"Delhi, DL",3,27698,17669,83094,30086
